herramienta,tipo,hallazgo,severidad,iso27001,cobit2019
Trivy,Vulnerability,CVE-2026-61861 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Use-after-free vulnerability leading to denial of service or code execution,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61863 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Memory leak in TIFF encoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61866 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Memory leak in JNG encoder can lead to denial of service,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61870 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service via specially crafted VIFF images,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86420 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service due to memory budget exhaustion,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86421 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service via memory leak in MSL decoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-76642 | libmount1 | wordpress:latest (debian 13.6) | util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78408 | libmount1 | wordpress:latest (debian 13.6) | util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78409 | libmount1 | wordpress:latest (debian 13.6) | util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-78410 | libmount1 | wordpress:latest (debian 13.6) | util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2025-69720 | libncursesw6 | wordpress:latest (debian 13.6) | ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-13221 | libperl5.40 | wordpress:latest (debian 13.6) | perl: Perl: Incorrect regular expression processing via large regular expressions,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-42496 | libperl5.40 | wordpress:latest (debian 13.6) | perl-archive-tar: perl-archive-tar: Path traversal via crafted symlinks allows arbitrary file access,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-8376 | libperl5.40 | wordpress:latest (debian 13.6) | perl: Perl: Heap buffer overflow when compiling regular expressions on 32-bit builds,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-42497 | libperl5.40 | wordpress:latest (debian 13.6) | perl-Archive-Tar: perl-Archive-Tar: Arbitrary file modification via crafted hardlinks during archive extraction,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-48962 | libperl5.40 | wordpress:latest (debian 13.6) | perl-IO-Compress: perl-IO-Compress: Arbitrary code execution via attacker-controlled output glob,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-57432 | libperl5.40 | wordpress:latest (debian 13.6) | perl: Perl: Information disclosure via integer overflow in pack/unpack operations,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-57433 | libperl5.40 | wordpress:latest (debian 13.6) | Storable: Storable: Denial of Service via signed integer overflow in deserialization,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-9538 | libperl5.40 | wordpress:latest (debian 13.6) | perl-Archive-Tar: perl-Archive-Tar: Denial of Service via crafted tar header with large entry size,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-20884 | libraw23t64 | wordpress:latest (debian 13.6) | LibRaw: LibRaw: Arbitrary code execution via integer overflow in deflate_dng_load_raw,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-24450 | libraw23t64 | wordpress:latest (debian 13.6) | LibRaw: LibRaw: Arbitrary code execution via a specially crafted malicious file,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-24660 | libraw23t64 | wordpress:latest (debian 13.6) | LibRaw: LibRaw: Memory Corruption via Malicious File Processing,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-20889 | libraw23t64 | wordpress:latest (debian 13.6) | LibRaw: LibRaw: Arbitrary code execution via specially crafted image file,HIGH,A.8.8,DSS05.07
